nom_arrondissement_communes,nb_stations,capacite_totale,moy_velos_disponibles,total_velos_disponibles
Paris,991,31983,11.384460141271443,11282
Boulogne-Billancourt,29,848,18.724137931034484,543
Issy-les-Moulineaux,18,584,18.166666666666668,327
Saint-Denis,16,516,20.4375,327
Levallois-Perret,11,359,24.272727272727273,267
Ivry-sur-Seine,17,562,15.117647058823529,257
Vitry-sur-Seine,16,454,13.8125,221
Aubervilliers,13,404,16.076923076923077,209
Neuilly-sur-Seine,13,316,14.538461538461538,189
Nanterre,8,222,18.875,151
Clichy,13,422,11.0,143
Pantin,21,563,6.285714285714286,132
Montreuil,23,787,5.434782608695652,125
Saint-Ouen-sur-Seine,8,247,15.0,120
Gennevilliers,5,145,22.6,113
Vincennes,10,306,10.7,107
Asnières-sur-Seine,9,236,10.555555555555555,95
Argenteuil,5,161,18.6,93
Rueil-Malmaison,8,201,10.75,86
Champigny-sur-Marne,5,147,17.0,85
Suresnes,10,260,7.9,79
Colombes,5,120,15.0,75
Courbevoie,7,220,10.714285714285714,75
Maisons-Alfort,7,180,10.285714285714286,72
La Garenne-Colombes,7,148,9.571428571428571,67
Bobigny,3,90,20.333333333333332,61
Saint-Mandé,6,190,9.833333333333334,59
Alfortville,5,122,11.6,58
Rosny-sous-Bois,4,103,14.25,57
Nogent-sur-Marne,3,131,18.333333333333332,55
Choisy-le-Roi,3,79,18.0,54
Sèvres,4,118,11.5,46
Noisy-le-Sec,2,58,22.5,45
Montrouge,13,354,3.4615384615384617,45
Puteaux,2,58,17.5,35
Joinville-le-Pont,2,85,16.5,33
Fontenay-sous-Bois,11,327,2.909090909090909,32
Charenton-le-Pont,5,147,6.0,30
Saint-Maurice,3,83,9.666666666666666,29
Cachan,4,86,7.0,28
Bois-Colombes,2,60,13.0,26
Gentilly,4,119,6.0,24
Malakoff,8,238,2.625,21
Villejuif,10,254,2.1,21
Bourg-la-Reine,2,55,10.0,20
Saint-Cloud,3,79,6.666666666666667,20
Fontenay-aux-Roses,4,122,3.0,12
Le Kremlin-Bicêtre,5,150,2.2,11
Arcueil,4,118,2.75,11
Romainville,3,67,3.3333333333333335,10
Vanves,7,234,1.4285714285714286,10
Châtillon,6,176,1.6666666666666667,10
Bagneux,4,111,2.25,9
Sceaux,3,90,2.6666666666666665,8
Bagnolet,8,249,1.0,8
Clamart,3,74,2.6666666666666665,8
Chaville,3,62,2.6666666666666665,8
Meudon,4,107,1.5,6
Le Pré-Saint-Gervais,3,72,1.6666666666666667,5
Les Lilas,3,121,1.3333333333333333,4
Ville-d'Avray,1,24,1.0,1
