name,nom_arrondissement_communes,moy_velos,max_velos,capacite_moyenne
BNF - Bibliothèque Nationale de France,Paris,78.0,78,42.0
Malesherbes - Place de la Madeleine,Paris,75.0,75,67.0
Censier - Santeuil,Paris,68.0,68,69.0
Emeriau - Beaugrenelle,Paris,66.0,66,74.0
Bercy.,Paris,65.0,65,66.0
Parc André Citroën,Paris,63.0,63,65.0
Hôpital Européen Georges Pompidou,Paris,59.0,59,64.0
Constantine - Université,Paris,58.0,58,65.0
Assemblée Nationale,Paris,58.0,58,63.0
Route de Sèvres - Porte de Bagatelle,Paris,58.0,58,66.0
